lang,sentiment_polarity
bg,0.005846698992913092
ca,-0.006250000000000001
cs,0.019900525400525403
da,0.004829052714529944
de,0.016266198212694944
el,-0.004495396209756252
en,0.02844473308722106
es,-0.0021911826599326587
et,0.014398482879275747
eu,0.0
fi,0.006910525532451762
fr,0.004852986391792241
hi,0.0
ht,0.3294956140350877
hu,0.03059969397363465
in,0.018749999999999996
it,-0.007946244595087453
iw,0.0028169014084507044
lt,-0.008857808857808859
lv,0.012319958847736626
nl,0.014915008607763387
no,-0.5833333333333334
pl,0.015354076325609225
pt,-0.005968467307953561
ro,0.0024933228495831444
sl,0.01613257575757576
sv,-0.08333333333333333
tl,0.08793630996374899
tr,0.0
und,0.0
vi,-0.0859375
